SubjID,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
sub-123,0.022,0.033,0.031,0.039,0.038,0.031,0.026,0.032,0.029,0.019,0.02,0.021,0.019,0.03,0.027,0.022,0.025,0.021,0.022,0.033,0.022,0.022,0.018,0.039,0.02,0.022,0.036,0.024,0.019,0.033,0.036,0.038,0.025,0.022,0.026,0.032,0.03,0.02,0.019,0.018,0.027,0.029,0.029,0.029,0.034,0.027,0.023,0.018,0.022,0.029,0.026,0.031,0.027,0.042,0.042,0.035,0.03,0.037,0.02,0.029,0.027,0.022,0.02,0.032,0.018,0.028,0.022,0.024,0.017,0.024,0.028,0.024,0.021,0.029,0.029,0.023,0.026,0.028,0.037,0.034,0.063,0.029,0.034,0.026,0.032,0.025,0.03,0.018,0.028,0.024,0.022,0.021,0.018,0.032,0.026,0.027,0.027,0.027,0.025,0.035,
sub-124,0.019,0.03,0.034,0.03,0.044,0.034,0.024,0.027,0.028,0.033,0.022,0.026,0.033,0.032,0.032,0.026,0.028,0.018,0.02,0.023,0.019,0.022,0.02,0.04,0.026,0.023,0.027,0.023,0.015,0.023,0.036,0.03,0.034,0.025,0.024,0.023,0.029,0.022,0.028,0.041,0.034,0.02,0.029,0.025,0.028,0.027,0.021,0.021,0.021,0.026,0.019,0.028,0.026,0.036,0.037,0.032,0.025,0.027,0.023,0.026,0.032,0.031,0.02,0.029,0.015,0.04,0.022,0.02,0.021,0.021,0.026,0.021,0.021,0.03,0.031,0.026,0.02,0.031,0.027,0.033,0.05,0.025,0.027,0.024,0.031,0.022,0.027,0.023,0.021,0.022,0.043,0.017,0.024,0.028,0.022,0.033,0.03,0.02,0.026,0.033,
sub-125,0.02,0.033,0.038,0.031,0.033,0.035,0.025,0.028,0.03,0.024,0.03,0.029,0.027,0.027,0.026,0.029,0.035,0.025,0.021,0.026,0.024,0.019,0.022,0.029,0.026,0.023,0.031,0.027,0.017,0.029,0.04,0.036,0.028,0.03,0.025,0.023,0.032,0.026,0.021,0.024,0.032,0.033,0.032,0.033,0.039,0.033,0.023,0.021,0.025,0.031,0.023,0.03,0.028,0.035,0.04,0.031,0.033,0.029,0.027,0.027,0.032,0.029,0.025,0.031,0.026,0.027,0.029,0.019,0.025,0.028,0.031,0.024,0.021,0.038,0.039,0.031,0.025,0.025,0.036,0.035,0.046,0.029,0.044,0.033,0.036,0.03,0.033,0.025,0.028,0.036,0.033,0.026,0.022,0.038,0.033,0.034,0.033,0.023,0.028,0.036,
sub-126,0.025,0.029,0.034,0.036,0.046,0.028,0.029,0.026,0.031,0.02,0.032,0.029,0.031,0.029,0.027,0.028,0.017,0.024,0.028,0.027,0.023,0.025,0.019,0.033,0.024,0.024,0.029,0.022,0.022,0.03,0.034,0.034,0.025,0.026,0.026,0.025,0.036,0.026,0.021,0.022,0.03,0.025,0.032,0.028,0.037,0.03,0.024,0.02,0.024,0.035,0.026,0.028,0.029,0.035,0.04,0.031,0.027,0.026,0.025,0.033,0.03,0.029,0.019,0.029,0.017,0.032,0.027,0.02,0.017,0.021,0.023,0.024,0.023,0.035,0.038,0.03,0.027,0.023,0.034,0.034,0.039,0.032,0.036,0.031,0.032,0.028,0.031,0.026,0.03,0.024,0.03,0.022,0.021,0.034,0.032,0.031,0.032,0.027,0.02,0.03,
sub-127,0.02,0.033,0.035,0.035,0.034,0.035,0.03,0.028,0.03,0.026,0.022,0.026,0.029,0.033,0.035,0.026,0.025,0.019,0.017,0.034,0.019,0.027,0.015,0.026,0.034,0.024,0.028,0.02,0.014,0.022,0.03,0.03,0.028,0.019,0.025,0.027,0.037,0.02,0.026,0.038,0.028,0.024,0.028,0.034,0.037,0.025,0.022,0.022,0.028,0.03,0.029,0.027,0.029,0.04,0.042,0.034,0.027,0.036,0.02,0.026,0.025,0.029,0.035,0.037,0.038,0.033,0.029,0.017,0.021,0.016,0.032,0.027,0.019,0.023,0.022,0.025,0.02,0.024,0.03,0.028,0.029,0.031,0.035,0.023,0.03,0.017,0.037,0.018,0.022,0.024,0.026,0.02,0.018,0.03,0.028,0.03,0.028,0.023,0.026,0.032,
sub-128,0.021,0.03,0.037,0.032,0.045,0.044,0.022,0.025,0.029,0.028,0.026,0.025,0.024,0.027,0.028,0.027,0.052,0.025,0.016,0.035,0.028,0.018,0.02,0.036,0.027,0.021,0.033,0.024,0.022,0.027,0.034,0.044,0.034,0.021,0.023,0.03,0.029,0.02,0.032,0.035,0.025,0.025,0.03,0.028,0.033,0.029,0.022,0.023,0.025,0.026,0.019,0.032,0.028,0.035,0.038,0.036,0.027,0.033,0.022,0.026,0.036,0.032,0.029,0.031,0.023,0.034,0.028,0.025,0.02,0.023,0.026,0.019,0.019,0.038,0.034,0.024,0.019,0.026,0.037,0.033,0.07,0.026,0.035,0.033,0.03,0.024,0.028,0.025,0.027,0.029,0.027,0.017,0.018,0.028,0.028,0.031,0.027,0.023,0.02,0.034,
sub-129,0.02,0.032,0.037,0.041,0.047,0.036,0.033,0.03,0.036,0.024,0.026,0.023,0.025,0.025,0.028,0.025,0.027,0.02,0.027,0.019,0.021,0.018,0.019,0.025,0.023,0.02,0.034,0.019,0.018,0.032,0.034,0.036,0.03,0.017,0.026,0.024,0.027,0.024,0.016,0.026,0.027,0.028,0.03,0.03,0.033,0.029,0.024,0.022,0.023,0.033,0.024,0.034,0.03,0.037,0.044,0.035,0.026,0.03,0.022,0.027,0.034,0.029,0.022,0.033,0.017,0.029,0.026,0.018,0.02,0.021,0.028,0.022,0.018,0.036,0.023,0.026,0.022,0.027,0.035,0.034,0.03,0.032,0.038,0.031,0.027,0.025,0.033,0.027,0.024,0.023,0.026,0.02,0.017,0.031,0.033,0.03,0.028,0.024,0.024,0.034,
sub-13,0.023,0.037,0.033,0.044,0.044,0.031,0.03,0.026,0.035,0.032,0.025,0.035,0.035,0.044,0.03,0.029,0.061,0.02,0.026,0.036,0.026,0.019,0.025,0.063,0.023,0.02,0.034,0.022,0.019,0.031,0.044,0.036,0.037,0.032,0.028,0.032,0.027,0.029,0.027,0.043,0.037,0.022,0.032,0.033,0.041,0.035,0.019,0.028,0.026,0.033,0.022,0.032,0.033,0.035,0.035,0.031,0.025,0.035,0.023,0.024,0.032,0.039,0.031,0.043,0.024,0.036,0.025,0.023,0.023,0.02,0.035,0.03,0.023,0.025,0.028,0.023,0.033,0.027,0.041,0.037,0.039,0.034,0.036,0.035,0.025,0.028,0.033,0.023,0.025,0.027,0.024,0.021,0.018,0.03,0.03,0.031,0.032,0.025,0.026,0.03,
sub-130,0.028,0.033,0.032,0.033,0.042,0.037,0.028,0.026,0.03,0.029,0.022,0.024,0.019,0.025,0.025,0.027,0.036,0.021,0.019,0.025,0.024,0.022,0.018,0.033,0.022,0.02,0.03,0.028,0.012,0.033,0.035,0.04,0.031,0.02,0.028,0.02,0.027,0.029,0.033,0.041,0.024,0.031,0.03,0.028,0.03,0.027,0.026,0.023,0.024,0.028,0.026,0.027,0.025,0.033,0.037,0.03,0.025,0.029,0.018,0.023,0.025,0.02,0.025,0.032,0.017,0.028,0.023,0.021,0.022,0.02,0.021,0.025,0.02,0.024,0.022,0.027,0.023,0.031,0.034,0.039,0.029,0.023,0.032,0.026,0.028,0.021,0.035,0.025,0.025,0.027,0.025,0.018,0.018,0.025,0.027,0.031,0.027,0.021,0.02,0.024,
sub-131,0.017,0.033,0.031,0.035,0.042,0.035,0.033,0.031,0.035,0.022,0.023,0.023,0.025,0.026,0.024,0.027,0.029,0.024,0.02,0.033,0.028,0.03,0.033,0.045,0.025,0.024,0.029,0.027,0.031,0.036,0.033,0.038,0.024,0.032,0.026,0.026,0.05,0.022,0.037,0.032,0.028,0.024,0.029,0.026,0.037,0.031,0.034,0.025,0.028,0.038,0.024,0.028,0.027,0.038,0.047,0.035,0.023,0.031,0.026,0.026,0.041,0.04,0.024,0.034,0.024,0.029,0.028,0.024,0.022,0.02,0.041,0.025,0.022,0.026,0.042,0.029,0.026,0.025,0.032,0.034,0.036,0.028,0.035,0.029,0.035,0.023,0.035,0.03,0.035,0.025,0.026,0.021,0.016,0.027,0.033,0.031,0.03,0.023,0.023,0.041,
sub-132,0.017,0.028,0.032,0.044,0.046,0.036,0.024,0.027,0.029,0.03,0.029,0.034,0.027,0.025,0.032,0.027,0.025,0.025,0.021,0.041,0.021,0.021,0.019,0.027,0.026,0.02,0.034,0.022,0.018,0.027,0.035,0.037,0.041,0.024,0.03,0.022,0.027,0.027,0.031,0.037,0.031,0.033,0.034,0.033,0.04,0.031,0.021,0.023,0.032,0.031,0.022,0.028,0.027,0.038,0.037,0.037,0.028,0.028,0.023,0.024,0.025,0.025,0.019,0.032,0.014,0.031,0.026,0.023,0.03,0.023,0.026,0.02,0.019,0.026,0.024,0.025,0.021,0.029,0.04,0.04,0.038,0.03,0.043,0.028,0.031,0.027,0.03,0.028,0.028,0.031,0.028,0.026,0.018,0.033,0.029,0.033,0.035,0.025,0.032,0.032,
sub-133,0.026,0.032,0.03,0.035,0.043,0.034,0.025,0.027,0.029,0.022,0.029,0.029,0.025,0.027,0.03,0.03,0.029,0.023,0.021,0.036,0.028,0.021,0.021,0.024,0.026,0.021,0.031,0.02,0.013,0.03,0.027,0.037,0.029,0.021,0.027,0.027,0.027,0.027,0.026,0.026,0.025,0.024,0.03,0.027,0.036,0.028,0.022,0.026,0.026,0.035,0.02,0.027,0.025,0.034,0.028,0.03,0.025,0.029,0.022,0.03,0.025,0.026,0.021,0.029,0.023,0.025,0.029,0.027,0.028,0.026,0.028,0.025,0.018,0.026,0.032,0.024,0.024,0.025,0.033,0.036,0.029,0.025,0.033,0.031,0.028,0.025,0.029,0.021,0.025,0.025,0.024,0.019,0.018,0.037,0.03,0.029,0.026,0.026,0.028,0.031,
sub-135,0.016,0.03,0.034,0.033,0.033,0.031,0.026,0.024,0.029,0.03,0.027,0.033,0.035,0.024,0.029,0.029,0.035,0.021,0.023,0.027,0.029,0.024,0.027,0.03,0.025,0.023,0.027,0.022,0.02,0.03,0.036,0.041,0.036,0.022,0.029,0.017,0.036,0.029,0.025,0.025,0.027,0.025,0.033,0.029,0.035,0.028,0.026,0.026,0.031,0.038,0.02,0.029,0.029,0.03,0.036,0.033,0.026,0.027,0.026,0.03,0.032,0.034,0.029,0.033,0.027,0.031,0.029,0.021,0.019,0.023,0.024,0.026,0.021,0.034,0.035,0.027,0.018,0.03,0.034,0.037,0.036,0.032,0.032,0.029,0.035,0.025,0.033,0.027,0.031,0.022,0.042,0.026,0.029,0.028,0.032,0.035,0.03,0.026,0.034,0.036,
sub-137,0.022,0.029,0.043,0.035,0.039,0.034,0.026,0.029,0.038,0.022,0.03,0.03,0.026,0.025,0.026,0.028,0.025,0.021,0.018,0.028,0.021,0.023,0.02,0.032,0.026,0.021,0.023,0.022,0.013,0.022,0.033,0.036,0.028,0.024,0.028,0.025,0.028,0.022,0.025,0.029,0.038,0.026,0.03,0.027,0.037,0.026,0.025,0.018,0.024,0.027,0.024,0.034,0.028,0.04,0.04,0.039,0.026,0.033,0.022,0.032,0.034,0.034,0.022,0.021,0.014,0.02,0.026,0.027,0.023,0.02,0.025,0.026,0.016,0.023,0.035,0.025,0.018,0.023,0.033,0.031,0.028,0.028,0.034,0.027,0.027,0.021,0.029,0.022,0.024,0.03,0.027,0.017,0.023,0.031,0.028,0.033,0.026,0.023,0.027,0.032,
sub-138,0.017,0.036,0.031,0.039,0.04,0.032,0.027,0.028,0.03,0.027,0.027,0.037,0.035,0.02,0.028,0.028,0.033,0.02,0.02,0.027,0.026,0.02,0.018,0.043,0.025,0.023,0.028,0.024,0.02,0.021,0.03,0.037,0.024,0.021,0.026,0.028,0.031,0.021,0.036,0.043,0.026,0.027,0.029,0.025,0.031,0.028,0.02,0.021,0.028,0.025,0.023,0.031,0.028,0.04,0.035,0.035,0.027,0.031,0.027,0.027,0.024,0.029,0.018,0.027,0.021,0.028,0.024,0.03,0.019,0.021,0.028,0.024,0.018,0.04,0.026,0.028,0.019,0.023,0.031,0.036,0.061,0.034,0.03,0.029,0.027,0.025,0.034,0.021,0.028,0.036,0.03,0.022,0.019,0.034,0.032,0.03,0.025,0.025,0.037,0.027,
sub-14,0.018,0.031,0.024,0.032,0.037,0.034,0.023,0.027,0.023,0.023,0.026,0.028,0.029,0.025,0.025,0.028,0.033,0.025,0.016,0.028,0.019,0.019,0.019,0.033,0.03,0.022,0.025,0.024,0.023,0.024,0.035,0.036,0.033,0.022,0.021,0.023,0.033,0.027,0.024,0.039,0.028,0.027,0.026,0.032,0.033,0.029,0.022,0.021,0.03,0.027,0.028,0.028,0.025,0.039,0.042,0.029,0.023,0.026,0.023,0.022,0.024,0.023,0.016,0.02,0.026,0.023,0.028,0.027,0.017,0.02,0.022,0.019,0.017,0.036,0.046,0.026,0.023,0.025,0.034,0.034,0.034,0.032,0.032,0.023,0.031,0.02,0.026,0.021,0.027,0.025,0.027,0.028,0.022,0.036,0.024,0.029,0.027,0.022,0.023,0.026,
sub-15,0.032,0.033,0.038,0.032,0.041,0.038,0.024,0.023,0.032,0.024,0.027,0.034,0.04,0.037,0.03,0.029,0.048,0.021,0.017,0.03,0.024,0.021,0.032,0.039,0.024,0.019,0.021,0.023,0.019,0.03,0.037,0.033,0.029,0.031,0.025,0.025,0.029,0.028,0.023,0.024,0.046,0.025,0.032,0.031,0.03,0.025,0.025,0.018,0.027,0.032,0.024,0.031,0.023,0.035,0.037,0.035,0.021,0.033,0.028,0.029,0.035,0.038,0.036,0.035,0.02,0.031,0.021,0.023,0.021,0.02,0.026,0.029,0.027,0.027,0.036,0.026,0.016,0.026,0.038,0.038,0.037,0.027,0.034,0.029,0.029,0.028,0.027,0.02,0.026,0.044,0.035,0.025,0.017,0.032,0.031,0.027,0.025,0.021,0.03,0.029,
sub-16,0.017,0.033,0.036,0.035,0.038,0.033,0.029,0.026,0.029,0.023,0.024,0.025,0.025,0.027,0.025,0.026,0.022,0.021,0.021,0.023,0.024,0.022,0.02,0.033,0.025,0.02,0.023,0.023,0.021,0.022,0.033,0.036,0.028,0.026,0.024,0.022,0.027,0.025,0.016,0.025,0.024,0.025,0.028,0.028,0.034,0.026,0.018,0.016,0.026,0.029,0.026,0.031,0.024,0.035,0.033,0.028,0.028,0.028,0.019,0.025,0.023,0.026,0.014,0.022,0.016,0.023,0.02,0.017,0.02,0.021,0.023,0.023,0.02,0.019,0.027,0.023,0.018,0.024,0.032,0.038,0.031,0.026,0.034,0.021,0.025,0.021,0.029,0.022,0.022,0.025,0.025,0.022,0.018,0.024,0.025,0.033,0.028,0.02,0.027,0.028,
sub-18,0.022,0.028,0.032,0.029,0.038,0.031,0.027,0.027,0.035,0.024,0.026,0.027,0.029,0.022,0.027,0.027,0.036,0.022,0.02,0.037,0.024,0.021,0.021,0.04,0.029,0.02,0.026,0.027,0.018,0.019,0.033,0.032,0.03,0.019,0.028,0.027,0.035,0.022,0.028,0.032,0.026,0.019,0.027,0.027,0.034,0.026,0.017,0.026,0.032,0.033,0.024,0.025,0.029,0.04,0.038,0.035,0.031,0.031,0.031,0.03,0.031,0.033,0.021,0.027,0.021,0.024,0.02,0.025,0.019,0.027,0.026,0.026,0.021,0.021,0.033,0.025,0.024,0.023,0.032,0.032,0.041,0.031,0.031,0.026,0.027,0.025,0.03,0.019,0.025,0.023,0.029,0.025,0.023,0.028,0.028,0.026,0.025,0.022,0.028,0.036,
sub-19,0.024,0.026,0.032,0.03,0.037,0.038,0.027,0.028,0.033,0.021,0.026,0.023,0.024,0.019,0.028,0.026,0.03,0.018,0.018,0.029,0.022,0.018,0.014,0.043,0.025,0.018,0.027,0.021,0.019,0.024,0.034,0.037,0.027,0.03,0.024,0.021,0.027,0.024,0.027,0.026,0.039,0.024,0.026,0.027,0.037,0.027,0.021,0.025,0.027,0.026,0.02,0.029,0.026,0.032,0.04,0.035,0.027,0.029,0.025,0.023,0.027,0.022,0.023,0.023,0.014,0.025,0.025,0.025,0.019,0.022,0.023,0.017,0.017,0.027,0.035,0.025,0.021,0.024,0.038,0.035,0.05,0.024,0.03,0.028,0.028,0.022,0.032,0.022,0.022,0.032,0.024,0.019,0.018,0.03,0.024,0.029,0.031,0.024,0.028,0.025,
sub-20,0.026,0.034,0.034,0.046,0.044,0.036,0.039,0.032,0.033,0.034,0.027,0.036,0.032,0.044,0.044,0.036,0.039,0.035,0.029,0.038,0.034,0.023,0.025,0.052,0.025,0.022,0.043,0.021,0.018,0.042,0.043,0.042,0.038,0.03,0.036,0.026,0.031,0.03,0.022,0.035,0.036,0.036,0.033,0.033,0.042,0.034,0.03,0.025,0.031,0.042,0.024,0.032,0.039,0.044,0.041,0.033,0.03,0.036,0.027,0.041,0.031,0.039,0.037,0.058,0.037,0.046,0.029,0.026,0.027,0.029,0.039,0.039,0.027,0.03,0.043,0.03,0.024,0.032,0.041,0.037,0.053,0.055,0.034,0.031,0.032,0.046,0.033,0.027,0.03,0.03,0.032,0.024,0.021,0.035,0.032,0.033,0.034,0.027,0.033,0.036,
sub-21,0.022,0.035,0.035,0.034,0.043,0.036,0.024,0.033,0.03,0.023,0.022,0.031,0.03,0.029,0.034,0.028,0.029,0.021,0.026,0.033,0.025,0.021,0.02,0.035,0.025,0.02,0.029,0.024,0.016,0.024,0.036,0.044,0.024,0.022,0.026,0.027,0.033,0.032,0.025,0.023,0.037,0.03,0.034,0.029,0.036,0.03,0.019,0.022,0.032,0.04,0.022,0.029,0.03,0.041,0.031,0.036,0.026,0.032,0.029,0.027,0.039,0.041,0.023,0.028,0.013,0.027,0.023,0.034,0.031,0.024,0.027,0.027,0.019,0.037,0.051,0.027,0.025,0.029,0.032,0.041,0.048,0.027,0.035,0.027,0.031,0.025,0.032,0.025,0.024,0.03,0.028,0.028,0.026,0.034,0.03,0.031,0.032,0.022,0.025,0.042,
sub-22,0.018,0.029,0.031,0.031,0.036,0.03,0.024,0.022,0.029,0.027,0.026,0.022,0.021,0.021,0.021,0.024,0.022,0.02,0.022,0.021,0.022,0.019,0.019,0.022,0.024,0.021,0.023,0.019,0.015,0.026,0.032,0.032,0.023,0.02,0.026,0.022,0.025,0.022,0.016,0.026,0.025,0.019,0.03,0.031,0.039,0.027,0.017,0.023,0.021,0.028,0.02,0.022,0.022,0.035,0.033,0.028,0.023,0.029,0.023,0.025,0.026,0.03,0.024,0.023,0.019,0.027,0.023,0.032,0.024,0.017,0.025,0.023,0.016,0.027,0.049,0.02,0.018,0.023,0.031,0.032,0.048,0.03,0.035,0.031,0.033,0.018,0.026,0.024,0.027,0.029,0.025,0.016,0.024,0.032,0.028,0.026,0.028,0.022,0.029,0.03,
sub-23,0.026,0.03,0.031,0.033,0.04,0.037,0.028,0.028,0.031,0.023,0.029,0.023,0.032,0.026,0.027,0.027,0.05,0.019,0.021,0.038,0.027,0.018,0.019,0.028,0.024,0.021,0.03,0.028,0.022,0.029,0.034,0.032,0.023,0.026,0.023,0.024,0.032,0.022,0.022,0.044,0.027,0.022,0.029,0.03,0.034,0.03,0.025,0.028,0.03,0.039,0.026,0.029,0.023,0.04,0.037,0.029,0.027,0.033,0.018,0.024,0.03,0.016,0.025,0.027,0.017,0.03,0.029,0.038,0.017,0.022,0.03,0.023,0.021,0.024,0.035,0.027,0.024,0.029,0.035,0.033,0.043,0.023,0.036,0.028,0.027,0.023,0.038,0.019,0.027,0.02,0.027,0.019,0.017,0.035,0.033,0.041,0.032,0.022,0.025,0.029,
sub-25,0.033,0.037,0.042,0.046,0.043,0.037,0.035,0.042,0.035,0.028,0.035,0.037,0.033,0.044,0.039,0.037,0.026,0.03,0.026,0.046,0.036,0.03,0.026,0.037,0.039,0.026,0.038,0.031,0.022,0.038,0.048,0.056,0.042,0.031,0.035,0.03,0.038,0.042,0.023,0.037,0.032,0.035,0.038,0.033,0.05,0.036,0.031,0.026,0.037,0.039,0.027,0.034,0.032,0.048,0.046,0.042,0.032,0.039,0.036,0.037,0.042,0.04,0.036,0.047,0.021,0.038,0.035,0.034,0.038,0.03,0.038,0.029,0.028,0.039,0.058,0.037,0.025,0.034,0.048,0.05,0.049,0.052,0.045,0.038,0.04,0.033,0.044,0.028,0.031,0.03,0.042,0.036,0.037,0.051,0.035,0.04,0.037,0.023,0.036,0.038,
sub-26,0.021,0.04,0.037,0.042,0.043,0.032,0.033,0.034,0.033,0.028,0.024,0.03,0.024,0.039,0.034,0.031,0.029,0.032,0.029,0.038,0.027,0.02,0.024,0.032,0.024,0.02,0.028,0.019,0.023,0.025,0.034,0.041,0.037,0.036,0.027,0.024,0.031,0.032,0.025,0.027,0.035,0.027,0.032,0.029,0.037,0.029,0.027,0.029,0.032,0.043,0.025,0.026,0.03,0.043,0.041,0.036,0.027,0.037,0.024,0.026,0.029,0.023,0.023,0.044,0.019,0.037,0.026,0.027,0.03,0.03,0.034,0.025,0.019,0.035,0.036,0.026,0.023,0.033,0.039,0.038,0.031,0.044,0.033,0.03,0.024,0.025,0.031,0.024,0.035,0.035,0.026,0.02,0.023,0.034,0.026,0.03,0.031,0.025,0.021,0.037,
sub-27,0.027,0.032,0.034,0.038,0.042,0.032,0.022,0.028,0.029,0.029,0.028,0.025,0.023,0.022,0.019,0.03,0.025,0.018,0.023,0.024,0.021,0.016,0.022,0.029,0.025,0.02,0.025,0.022,0.014,0.022,0.037,0.037,0.029,0.02,0.027,0.025,0.034,0.024,0.018,0.04,0.029,0.022,0.03,0.027,0.03,0.028,0.022,0.024,0.026,0.034,0.025,0.033,0.027,0.045,0.039,0.033,0.028,0.032,0.022,0.028,0.028,0.02,0.02,0.024,0.017,0.022,0.023,0.022,0.021,0.025,0.025,0.02,0.015,0.037,0.032,0.026,0.022,0.019,0.036,0.04,0.029,0.022,0.031,0.029,0.027,0.025,0.035,0.02,0.024,0.024,0.03,0.026,0.019,0.03,0.027,0.031,0.024,0.02,0.03,0.043,
sub-28,0.019,0.033,0.039,0.035,0.036,0.026,0.024,0.025,0.028,0.018,0.026,0.025,0.02,0.018,0.017,0.026,0.018,0.022,0.02,0.025,0.021,0.018,0.018,0.025,0.018,0.019,0.022,0.02,0.017,0.021,0.03,0.031,0.026,0.02,0.022,0.029,0.04,0.02,0.02,0.019,0.023,0.021,0.026,0.028,0.03,0.023,0.023,0.017,0.031,0.034,0.019,0.034,0.023,0.036,0.028,0.031,0.029,0.026,0.014,0.024,0.021,0.016,0.02,0.018,0.016,0.016,0.024,0.019,0.019,0.021,0.019,0.018,0.018,0.017,0.02,0.023,0.017,0.02,0.042,0.035,0.022,0.022,0.03,0.021,0.023,0.022,0.034,0.024,0.018,0.02,0.025,0.016,0.016,0.028,0.024,0.024,0.023,0.016,0.024,0.032,
sub-32,0.023,0.034,0.029,0.034,0.034,0.031,0.025,0.026,0.028,0.027,0.025,0.031,0.026,0.024,0.028,0.027,0.036,0.023,0.02,0.025,0.022,0.02,0.018,0.03,0.026,0.02,0.03,0.019,0.018,0.026,0.03,0.029,0.028,0.025,0.027,0.023,0.029,0.024,0.028,0.025,0.029,0.028,0.033,0.03,0.034,0.027,0.023,0.028,0.028,0.034,0.021,0.029,0.027,0.032,0.039,0.032,0.024,0.028,0.019,0.024,0.026,0.023,0.019,0.022,0.017,0.027,0.022,0.025,0.018,0.021,0.019,0.024,0.02,0.035,0.034,0.024,0.019,0.025,0.031,0.029,0.038,0.025,0.036,0.024,0.025,0.021,0.04,0.025,0.027,0.038,0.03,0.021,0.019,0.029,0.028,0.027,0.027,0.025,0.032,0.039,
sub-33,0.016,0.032,0.035,0.034,0.048,0.033,0.026,0.026,0.03,0.022,0.027,0.033,0.022,0.027,0.025,0.032,0.025,0.022,0.027,0.031,0.023,0.022,0.019,0.024,0.025,0.023,0.032,0.02,0.023,0.022,0.039,0.035,0.025,0.023,0.027,0.021,0.033,0.022,0.029,0.021,0.029,0.029,0.032,0.034,0.039,0.027,0.024,0.025,0.03,0.033,0.022,0.026,0.032,0.04,0.038,0.035,0.028,0.031,0.026,0.029,0.027,0.035,0.021,0.032,0.023,0.026,0.027,0.019,0.026,0.025,0.029,0.022,0.019,0.033,0.027,0.03,0.019,0.026,0.036,0.038,0.028,0.033,0.038,0.032,0.026,0.024,0.036,0.022,0.026,0.031,0.027,0.022,0.028,0.038,0.038,0.031,0.031,0.027,0.031,0.031,
